local_time,gpu_index,gpu_name,memory_used_mb,memory_total_mb,gpu_util_percent
2026/06/24 20:07:39.318,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:40.375,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:41.474,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:42.578,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:43.679,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:44.782,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:45.845,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:46.946,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:48.046,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:49.122,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:50.197,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:51.297,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:52.394,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:53.474,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:54.533,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:55.610,0,NVIDIA GeForce RTX 5090,2,32607,0
2026/06/24 20:07:56.827,0,NVIDIA GeForce RTX 5090,1462,32607,2
2026/06/24 20:07:57.901,0,NVIDIA GeForce RTX 5090,1462,32607,0
2026/06/24 20:07:58.955,0,NVIDIA GeForce RTX 5090,1590,32607,0
2026/06/24 20:08:00.008,0,NVIDIA GeForce RTX 5090,5614,32607,40
2026/06/24 20:08:01.113,0,NVIDIA GeForce RTX 5090,5648,32607,34
2026/06/24 20:08:02.212,0,NVIDIA GeForce RTX 5090,5648,32607,32
2026/06/24 20:08:03.282,0,NVIDIA GeForce RTX 5090,5648,32607,35
2026/06/24 20:08:04.381,0,NVIDIA GeForce RTX 5090,5650,32607,29
2026/06/24 20:08:05.453,0,NVIDIA GeForce RTX 5090,5650,32607,29
2026/06/24 20:08:06.549,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:08:07.645,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 20:08:08.721,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:08:09.776,0,NVIDIA GeForce RTX 5090,5650,32607,27
2026/06/24 20:08:10.812,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:08:11.905,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:08:13.006,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 20:08:14.081,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:08:15.152,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:08:16.203,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:08:17.255,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 20:08:18.345,0,NVIDIA GeForce RTX 5090,5650,32607,29
2026/06/24 20:08:19.437,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:08:20.494,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:08:21.585,0,NVIDIA GeForce RTX 5090,5650,32607,23
2026/06/24 20:08:22.657,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:08:23.729,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:08:24.805,0,NVIDIA GeForce RTX 5090,5650,32607,27
2026/06/24 20:08:25.882,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:08:26.953,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:08:28.053,0,NVIDIA GeForce RTX 5090,5650,32607,29
2026/06/24 20:08:29.145,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 20:08:30.196,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:08:31.269,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 20:08:32.345,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 20:08:33.441,0,NVIDIA GeForce RTX 5090,5650,32607,23
2026/06/24 20:08:34.533,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 20:08:35.591,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:08:36.669,0,NVIDIA GeForce RTX 5090,5650,32607,20
2026/06/24 20:08:37.761,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:08:38.841,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:08:39.933,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:08:40.968,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:08:42.045,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:08:43.119,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 20:08:44.213,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 20:08:45.289,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:08:46.343,0,NVIDIA GeForce RTX 5090,5650,32607,27
2026/06/24 20:08:47.444,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 20:08:48.545,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:08:49.645,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:08:50.749,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:08:51.845,0,NVIDIA GeForce RTX 5090,5650,32607,23
2026/06/24 20:08:52.937,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:08:53.995,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:08:55.033,0,NVIDIA GeForce RTX 5090,5650,32607,25
2026/06/24 20:08:56.141,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:08:57.217,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:08:58.321,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 20:08:59.393,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 20:09:00.447,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:09:01.545,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:09:02.645,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:09:03.745,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:09:04.840,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 20:09:05.908,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 20:09:07.001,0,NVIDIA GeForce RTX 5090,5650,32607,26
2026/06/24 20:09:08.096,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:09:09.194,0,NVIDIA GeForce RTX 5090,5650,32607,40
2026/06/24 20:09:10.266,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:09:11.361,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:09:12.461,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:09:13.561,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:09:14.653,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 20:09:15.729,0,NVIDIA GeForce RTX 5090,5650,32607,43
2026/06/24 20:09:16.791,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:09:17.873,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:09:18.950,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 20:09:20.096,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:09:21.213,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:09:22.271,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:09:23.373,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:09:24.469,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:09:25.561,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:09:26.659,0,NVIDIA GeForce RTX 5090,5650,32607,27
2026/06/24 20:09:27.757,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 20:09:28.853,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:09:29.939,0,NVIDIA GeForce RTX 5090,5650,32607,23
2026/06/24 20:09:31.001,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:09:32.097,0,NVIDIA GeForce RTX 5090,5650,32607,41
2026/06/24 20:09:33.156,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 20:09:34.253,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:09:35.307,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:09:36.405,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:09:37.481,0,NVIDIA GeForce RTX 5090,5650,32607,41
2026/06/24 20:09:38.585,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 20:09:39.679,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:09:40.785,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:09:41.885,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:09:42.985,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:09:44.081,0,NVIDIA GeForce RTX 5090,5650,32607,29
2026/06/24 20:09:45.165,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:09:46.261,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:09:47.333,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:09:48.406,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:09:49.509,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:09:50.568,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:09:51.645,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:09:52.745,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 20:09:53.853,0,NVIDIA GeForce RTX 5090,5650,32607,42
2026/06/24 20:09:54.957,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 20:09:56.033,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:09:57.125,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:09:58.206,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:09:59.290,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:10:00.373,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:10:01.473,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 20:10:02.578,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:10:03.685,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:10:04.785,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:10:05.844,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:10:06.945,0,NVIDIA GeForce RTX 5090,5650,32607,36
